procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 KST
 0  0      0 31469588   5504 6110276    0    0     0     0  809 1345  0  0 100  0  0 2025-08-25 13:16:18
 0  0      0 31469588   5504 6110276    0    0     0     0  803 1347  0  0 100  0  0 2025-08-25 13:16:19
 0  0      0 31469588   5504 6110276    0    0     0     0  855 1390  0  0 100  0  0 2025-08-25 13:16:20
 0  0      0 31469588   5504 6110276    0    0     0    64  954 1414  0  0 100  0  0 2025-08-25 13:16:21
 0  0      0 31469588   5504 6110276    0    0     0     0  835 1368  0  0 100  0  0 2025-08-25 13:16:22
 0  0      0 31469588   5504 6110276    0    0     0     4 4002 4350  0  0 100  0  0 2025-08-25 13:16:23
 0  0      0 31469588   5504 6110276    0    0     0     0  853 1370  0  0 100  0  0 2025-08-25 13:16:24
 0  0      0 31469588   5504 6110280    0    0     0     0  835 1344  0  0 100  0  0 2025-08-25 13:16:25
 0  0      0 31469588   5504 6110280    0    0     0    60  877 1380  0  0 100  0  0 2025-08-25 13:16:26
 0  0      0 31469588   5504 6110280    0    0     0     0  837 1372  0  0 100  0  0 2025-08-25 13:16:27
 0  0      0 31469588   5504 6110280    0    0     0     0  869 1394  0  0 100  0  0 2025-08-25 13:16:28
 0  0      0 31469588   5504 6110280    0    0     0     8  861 1353  0  0 100  0  0 2025-08-25 13:16:29
 0  0      0 31469588   5504 6110280    0    0     0     0  828 1344  0  0 100  0  0 2025-08-25 13:16:30
 0  0      0 31469588   5504 6110280    0    0     0    44  853 1375  0  0 100  0  0 2025-08-25 13:16:31
 0  0      0 31469588   5504 6110280    0    0     0     0  825 1369  0  0 100  0  0 2025-08-25 13:16:32
 0  0      0 31469588   5504 6110280    0    0     0     0  936 1406  0  0 100  0  0 2025-08-25 13:16:33
 0  0      0 31469588   5504 6110280    0    0     0     0  817 1341  0  0 100  0  0 2025-08-25 13:16:34
 0  0      0 31469588   5504 6110280    0    0     0     4  801 1350  0  0 100  0  0 2025-08-25 13:16:35
 0  0      0 31469588   5504 6110280    0    0     0    44  910 1418  0  0 100  0  0 2025-08-25 13:16:36
 0  0      0 31469588   5504 6110280    0    0     0     0  872 1360  0  0 100  0  0 2025-08-25 13:16:37
 0  0      0 31469588   5504 6110280    0    0     0     4  912 1391  0  0 100  0  0 2025-08-25 13:16:38
 0  0      0 31469588   5504 6110280    0    0     0     0  824 1336  0  0 100  0  0 2025-08-25 13:16:39
 0  0      0 31469588   5504 6110280    0    0     0     0  866 1404  0  0 100  0  0 2025-08-25 13:16:40
 0  0      0 31469588   5504 6110280    0    0     0    52  988 1472  0  0 100  0  0 2025-08-25 13:16:41
 0  0      0 31469588   5504 6110280    0    0     0    22 2068 2327  0  0 100  0  0 2025-08-25 13:16:42
 0  0      0 31469588   5504 6110280    0    0     0     0 1865 1948  0  0 100  0  0 2025-08-25 13:16:43
 0  0      0 31469588   5504 6110280    0    0     0     0 1409 1682  0  0 98  2  0 2025-08-25 13:16:44
 0  0      0 31469588   5504 6110280    0    0     0     0  907 1365  0  0 100  0  0 2025-08-25 13:16:45
 0  0      0 31469588   5504 6110280    0    0     0    48 4033 4367  0  0 100  0  0 2025-08-25 13:16:46
 0  0      0 31469588   5504 6110280    0    0     0     4  848 1358  0  0 100  0  0 2025-08-25 13:16:47
 0  0      0 31469588   5504 6110280    0    0     0     0  960 1434  0  0 100  0  0 2025-08-25 13:16:48
 0  0      0 31469588   5504 6110280    0    0     0     0  868 1363  0  0 100  0  0 2025-08-25 13:16:49
 0  0      0 31469588   5504 6110280    0    0     0     0  876 1390  0  0 100  0  0 2025-08-25 13:16:50
 0  0      0 31469588   5504 6110280    0    0     0    48  855 1390  0  0 100  0  0 2025-08-25 13:16:51
 0  0      0 31469588   5504 6110280    0    0     0     0  884 1414  0  0 100  0  0 2025-08-25 13:16:52
 0  0      0 31469588   5504 6110280    0    0     0     4  868 1371  0  0 100  0  0 2025-08-25 13:16:53
 0  0      0 31469588   5504 6110280    0    0     0     0  921 1347  0  0 100  0  0 2025-08-25 13:16:54
 0  0      0 31469588   5504 6110280    0    0     0     0  898 1365  0  0 100  0  0 2025-08-25 13:16:55
 0  0      0 31469588   5504 6110280    0    0     0    44  998 1462  0  0 100  0  0 2025-08-25 13:16:56
 0  0      0 31468076   5504 6110280    0    0     0     0 1060 1430  0  0 100  0  0 2025-08-25 13:16:57
 0  0      0 31468076   5504 6110280    0    0     0     0  912 1403  0  0 100  0  0 2025-08-25 13:16:58
 0  0      0 31468076   5504 6110280    0    0     0     4  898 1372  0  0 100  0  0 2025-08-25 13:16:59
 0  0      0 31468076   5504 6110216    0    0     0    16  970 1492  0  0 100  0  0 2025-08-25 13:17:00
 0  0      0 31468076   5504 6110216    0    0     0     0  876 1361  0  0 100  0  0 2025-08-25 13:17:01
 0  0      0 31467152   5504 6110228    0    0     0    64 3146 4147  2  1 97  0  0 2025-08-25 13:17:02
 0  0      0 31467152   5504 6110228    0    0     0    16 1024 1407  0  0 100  0  0 2025-08-25 13:17:03
 0  0      0 31467152   5504 6110244    0    0     0     0  907 1408  0  0 100  0  0 2025-08-25 13:17:04
 0  0      0 31467152   5504 6110244    0    0     0     8  921 1375  0  0 100  0  0 2025-08-25 13:17:05
 0  0      0 31467152   5504 6110244    0    0     0     0  914 1389  0  0 100  0  0 2025-08-25 13:17:06
 1  0      0 31454048   5504 6110244    0    0     0   116 1877 2499  1  0 98  0  0 2025-08-25 13:17:07
 0  0      0 31454048   5504 6110244    0    0     0     0  953 1405  0  0 100  0  0 2025-08-25 13:17:08
 0  0      0 31453824   5504 6110244    0    0     0    16  894 1378  0  0 100  0  0 2025-08-25 13:17:09
 0  0      0 31453824   5504 6110248    0    0     0     0 1608 2272  1  0 99  0  0 2025-08-25 13:17:10
 0  0      0 31453832   5504 6110252    0    0     0     4 1112 1585  0  0 100  0  0 2025-08-25 13:17:11
 0  0      0 31455048   5504 6110252    0    0     0    99 1005 1526  0  0 100  0  0 2025-08-25 13:17:12
 0  0      0 31455048   5504 6110252    0    0     0    24  898 1412  0  0 100  0  0 2025-08-25 13:17:13
 0  0      0 31456112   5504 6110252    0    0     0     0  865 1360  0  0 100  0  0 2025-08-25 13:17:14
 0  0      0 31457044   5504 6110252    0    0     0     0  871 1365  0  0 100  0  0 2025-08-25 13:17:15
 1  0      0 31457096   5504 6110252    0    0     0     0  902 1412  0  0 100  0  0 2025-08-25 13:17:16
 0  0      0 31457096   5504 6110252    0    0     0    56 1078 1471  0  0 100  0  0 2025-08-25 13:17:17
